AD1,AD2
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
I don't know,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List A
List A,List A
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List A,List B
List B,List B
List B,I don't know
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List A
List B,List A
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List A
List B,List B
List B,List B
List B,List B
List B,List A
List B,List B
I don't know,I don't know
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List A,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List A
I don't know,I don't know
List B,List B
List B,List B
List B,List B
List B,List A
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
I don't know,I don't know
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List A
List B,List B
List B,I don't know
List B,List B
List B,List A
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,List B
List B,I don't know
